"ID","Number","Flex_LL","Flex_UL","SW_LL","SW_UL","SW_Wt_LL","SW_Wt_UL","SW_Meas_Type","Freq_LL","Freq_UL","Freq_Std","Freq_BSL","Freq_Wt"
3514,CRR08-102-01,,,18.95,21.45,66.0,74.0,Center of Gravity,281.0,289.0,80,127.0,252
3515,CRR08-102-02,,,20.45,21.05,64.5,72.5,Center of Gravity,291.0,299.0,80,127.0,252
3516,CRR08-102-03,,,20.05,20.65,64.5,72.5,Center of Gravity,302.0,310.0,80,127.0,252
3517,CRR08-102-04,,,19.55,20.15,65.0,73.0,Center of Gravity,309.0,317.0,80,127.0,252
3518,CRR08-102-05,,,19.15,19.75,65.0,73.0,Center of Gravity,315.0,323.0,80,127.0,252
3519,CRR08-102-06,,,18.35,18.95,68.5,76.5,Center of Gravity,322.0,330.0,80,127.0,252
3521,"08-102-02",,,20.45,21.05,63.0,69.0,Center of Gravity,291.0,299.0,80,127.0,252
3522,"08-102-03",,,20.05,20.65,63.0,69.0,Center of Gravity,302.0,310.0,80,127.0,252
3523,"08-102-04",,,19.55,20.15,63.5,69.5,Center of Gravity,309.0,317.0,80,127.0,252
3524,"08-102-05",,,19.15,19.75,63.5,69.5,Center of Gravity,315.0,323.0,80,127.0,252
3525,"08-102-06",,,18.35,18.95,67.0,73.0,Center of Gravity,322.0,330.0,80,127.0,252
3526,VSWK10A,,,,,,,,,,80,,
3527,VSWC10A,,,,,,,,,,80,,
3528,VSWK60A,91.0,107.0,0.0,0.001,84.0,90.0,Inch Grams,,,80,,
3529,AKVMIR00AXRA,,,10.0,10.001,77.0,87.0,Center of Gravity,290.0,300.0,80,158.75,235
3531,AS6QWR60BARA,,,10.0,10.001,63.0,71.0,Center of Gravity,247.0,253.0,80,158.75,201
3532,AS6QWS60BARA,,,10.0,10.001,63.0,71.0,Center of Gravity,262.0,268.0,80,158.75,201
3533,"6QWS60B",,,10.0,10.001,61.0,67.0,Center of Gravity,262.0,268.0,80,158.75,201
3534,MUIL00A,,,10.0,10.001,50.0,58.0,Center of Gravity,235.0,245.0,80,158.75,235
3535,AKVNWR50ABKA,4.0,4.6,10.0,10.001,66.0,76.0,Center of Gravity,,,80,,
3536,AKVNWS50ABKA,3.3,3.9,10.0,10.001,71.0,81.0,Center of Gravity,,,80,,
3537,VNIX00A,2.6,3.2,10.0,10.001,75.0,83.0,Center of Gravity,,,80,,
3538,VNWR50A,4.0,4.6,0.0,1.0,66.0,74.0,Inch Grams,,,80,,
3539,CXWWA60AXFA,,,22.25,22.95,52.0,58.0,Center of Gravity,225.0,231.0,80,127.0,196
3540,WWA60A,,,22.15,22.95,49.5,55.5,Center of Gravity,225.0,231.0,80,127.0,196
3541,CWXDWF40AARA,,,7.3,9.3,56.0,62.0,Swing Weight Points,267.0,277.0,80,186.69,201
3542,XDWF40A,111.0,125.0,7.3,9.3,53.0,59.0,Swing Weight Points,267.0,277.0,80,186.69,201
3543,CWXDWL40AARA,,,7.0,9.0,53.5,59.5,Swing Weight Points,247.0,257.0,80,186.69,201
3544,XDWL40A,118.0,132.0,7.0,9.0,50.5,56.5,Swing Weight Points,247.0,257.0,80,186.69,201
3545,CWXDWR40AARA,114.0,128.0,7.0,9.0,54.5,60.5,Swing Weight Points,256.0,266.0,80,186.69,201
3547,CXCWIA70AXFF,,,18.05,18.65,62.5,70.5,Center of Gravity,307.0,313.0,80,127.0,252
3548,CXCWIA65AXFF,,,18.85,19.45,65.0,73.0,Center of Gravity,312.0,318.0,80,127.0,252
3549,CXCWIA90AXFF,,,19.45,20.05,64.0,72.0,Center of Gravity,280.0,286.0,80,127.0,252
3550,CXCWIA80AXFF,,,19.05,19.65,63.0,71.0,Center of Gravity,295.0,301.0,80,127.0,252
3551,CXSSIL65AYXF,,,17.85,18.45,43.0,52.0,Center of Gravity,290.0,296.0,80,127.0,252
3552,CXSSIL70AYXF,,,18.05,18.65,45.5,53.5,Center of Gravity,281.0,287.0,80,127.0,252
3553,CXSSIL75AYXF,,,18.45,19.05,46.0,54.0,Center of Gravity,272.0,278.0,80,127.0,252
3554,CXSSIL80AYXF,,,18.75,19.35,47.0,55.0,Center of Gravity,265.0,271.0,80,127.0,252
3555,CXSSIL85AYXF,,,19.15,19.75,48.0,56.0,Center of Gravity,259.0,265.0,80,127.0,252
3556,CXSSIL90AYXF,,,19.45,20.05,49.0,57.0,Center of Gravity,253.0,259.0,80,127.0,252
3557,CXCWIR65AXVB,,,19.15,19.75,65.0,73.0,Center of Gravity,327.0,333.0,80,127.0,252
3558,CXCWIR70AXVB,,,18.55,19.15,67.0,75.0,Center of Gravity,323.0,329.0,80,127.0,252
3559,CXCWIR80AXVB,,,19.55,20.15,65.0,73.0,Center of Gravity,310.0,316.0,80,127.0,252
3560,CXCWIR90AXVB,,,20.45,21.05,64.5,72.5,Center of Gravity,292.0,298.0,80,127.0,252
3561,CXCWIS65AXVB,,,18.95,19.55,67.0,75.0,Center of Gravity,338.0,344.0,80,127.0,252
3562,CXCWIS70AXVB,,,18.35,18.95,62.0,70.0,Center of Gravity,336.0,342.0,80,127.0,252
3563,CXCWIS75AXVB,,,19.05,19.65,64.0,72.0,Center of Gravity,330.0,336.0,80,127.0,252
3564,CXCWIS80AXVB,,,19.35,19.95,65.5,73.5,Center of Gravity,324.0,330.0,80,127.0,252
3565,CXCWIS85AXVB,,,19.95,20.55,65.0,73.0,Center of Gravity,319.0,325.0,80,127.0,252
3566,CXCWIS90AXVB,,,19.95,20.55,66.0,74.0,Center of Gravity,309.0,315.0,80,127.0,252
3567,CXCWIA75AXFF,,,18.85,19.45,63.0,71.0,Center of Gravity,301.0,307.0,80,127.0,252
3568,CXCWIA85AXFF,,,19.15,19.75,63.5,71.5,Center of Gravity,290.0,296.0,80,127.0,252
3569,CXCWIA95AXFF,,,20.15,20.75,62.0,70.0,Center of Gravity,265.0,271.0,80,127.0,252
3573,CXCWIR85AXVB,,,20.05,26.65,64.5,72.5,Center of Gravity,303.0,309.0,80,127.0,252
3576,CXCWIR75AXVB,,,19.15,19.75,65.0,73.0,Center of Gravity,316.0,322.0,80,127.0,252
3577,CXCWIR95AXVB,,,20.85,21.45,66.0,74.0,Center of Gravity,282.0,288.0,80,127.0,252
3578,CXCWIS95AXVB,,,20.45,21.05,66.0,74.0,Center of Gravity,296.0,302.0,80,127.0,252
